W_A,C_A,SM_A,SM_F,SM_C,SN_A,SN_F,SN_C,C,AlternativeID
10,10,10,1,3,10,2,3,250,310
10,10,10,1,3,10,2,3,1250,311
10,10,10,1,3,10,2,3,3500,312
10,10,10,1,3,10,3,1,50,313
10,10,10,1,3,10,3,1,250,314
10,10,10,1,3,10,3,1,1250,315
10,10,10,1,3,10,3,1,3500,316
10,10,10,1,3,10,3,2,50,317
10,10,10,1,3,10,3,2,250,318
10,10,10,1,3,10,3,2,1250,319
10,10,10,1,3,10,3,2,3500,320
10,10,10,1,3,10,3,3,50,321
10,10,10,1,3,10,3,3,250,322
10,10,10,1,3,10,3,3,1250,323
10,10,10,1,3,10,3,3,3500,324
10,10,10,1,3,30,1,1,50,325
10,10,10,1,3,30,1,1,250,326
10,10,10,1,3,30,1,1,1250,327
10,10,10,1,3,30,1,1,3500,328
10,10,10,1,3,30,1,2,50,329
10,10,10,1,3,30,1,2,250,330
10,10,10,1,3,30,1,2,1250,331
10,10,10,1,3,30,1,2,3500,332
10,10,10,1,3,30,1,3,50,333
10,10,10,1,3,30,1,3,250,334
10,10,10,1,3,30,1,3,1250,335
10,10,10,1,3,30,1,3,3500,336
10,10,10,1,3,30,2,1,50,337
10,10,10,1,3,30,2,1,250,338
10,10,10,1,3,30,2,1,1250,339
10,10,10,1,3,30,2,1,3500,340
10,10,10,1,3,30,2,2,50,341
10,10,10,1,3,30,2,2,250,342
10,10,10,1,3,30,2,2,1250,343
10,10,10,1,3,30,2,2,3500,344
10,10,10,1,3,30,2,3,50,345
10,10,10,1,3,30,2,3,250,346
10,10,10,1,3,30,2,3,1250,347
10,10,10,1,3,30,2,3,3500,348
10,10,10,1,3,30,3,1,50,349
10,10,10,1,3,30,3,1,250,350
10,10,10,1,3,30,3,1,1250,351
10,10,10,1,3,30,3,1,3500,352
10,10,10,1,3,30,3,2,50,353
10,10,10,1,3,30,3,2,250,354
10,10,10,1,3,30,3,2,1250,355
10,10,10,1,3,30,3,2,3500,356
10,10,10,1,3,30,3,3,50,357
10,10,10,1,3,30,3,3,250,358
10,10,10,1,3,30,3,3,1250,359
10,10,10,1,3,30,3,3,3500,360
10,10,10,1,3,50,1,1,50,361
10,10,10,1,3,50,1,1,250,362
10,10,10,1,3,50,1,1,1250,363
10,10,10,1,3,50,1,1,3500,364
10,10,10,1,3,50,1,2,50,365
10,10,10,1,3,50,1,2,250,366
10,10,10,1,3,50,1,2,1250,367
10,10,10,1,3,50,1,2,3500,368
10,10,10,1,3,50,1,3,50,369
10,10,10,1,3,50,1,3,250,370
10,10,10,1,3,50,1,3,1250,371
10,10,10,1,3,50,1,3,3500,372
10,10,10,1,3,50,2,1,50,373
10,10,10,1,3,50,2,1,250,374
10,10,10,1,3,50,2,1,1250,375
10,10,10,1,3,50,2,1,3500,376
10,10,10,1,3,50,2,2,50,377
10,10,10,1,3,50,2,2,250,378
10,10,10,1,3,50,2,2,1250,379
10,10,10,1,3,50,2,2,3500,380
10,10,10,1,3,50,2,3,50,381
10,10,10,1,3,50,2,3,250,382
10,10,10,1,3,50,2,3,1250,383
10,10,10,1,3,50,2,3,3500,384
10,10,10,1,3,50,3,1,50,385
10,10,10,1,3,50,3,1,250,386
10,10,10,1,3,50,3,1,1250,387
10,10,10,1,3,50,3,1,3500,388
10,10,10,1,3,50,3,2,50,389
10,10,10,1,3,50,3,2,250,390
10,10,10,1,3,50,3,2,1250,391
10,10,10,1,3,50,3,2,3500,392
10,10,10,1,3,50,3,3,50,393
10,10,10,1,3,50,3,3,250,394
10,10,10,1,3,50,3,3,1250,395
10,10,10,1,3,50,3,3,3500,396
10,10,10,1,3,80,1,1,50,397
10,10,10,1,3,80,1,1,250,398
10,10,10,1,3,80,1,1,1250,399
10,10,10,1,3,80,1,1,3500,400
10,10,10,1,3,80,1,2,50,401
10,10,10,1,3,80,1,2,250,402
10,10,10,1,3,80,1,2,1250,403
10,10,10,1,3,80,1,2,3500,404
10,10,10,1,3,80,1,3,50,405
10,10,10,1,3,80,1,3,250,406
10,10,10,1,3,80,1,3,1250,407
10,10,10,1,3,80,1,3,3500,408
10,10,10,1,3,80,2,1,50,409
10,10,10,1,3,80,2,1,250,410
10,10,10,1,3,80,2,1,1250,411
10,10,10,1,3,80,2,1,3500,412
10,10,10,1,3,80,2,2,50,413
10,10,10,1,3,80,2,2,250,414
10,10,10,1,3,80,2,2,1250,415
10,10,10,1,3,80,2,2,3500,416
10,10,10,1,3,80,2,3,50,417
